### POWER

outfit "SRR Small EM Battery"
	"display name" "Small EM Battery"
	plural "Small EM Batteries"
	category "Power"
	series "Batteries"
	index 13030
	cost 100000
	thumbnail "outfit/small embattery"
	"mass" 14
	"outfit space" -14
	"shield generation" 0.14
	"shield energy" 0.14
	"shield heat" 0.07
	"heat generation" 0.6
	"energy capacity" 8800
	description "This small superconductive inductor stores just enough power to keep a fighter running, and the electromagnetic field it generates helps to maintain the shield matrix."

outfit "SRR Large EM Battery"
	"display name" "Large EM Battery"
	plural "Large EM Batteries"
	category "Power"
	series "Batteries"
	index 13050
	cost 750000
	thumbnail "outfit/embattery"
	"mass" 150
	"outfit space" -150
	"shield generation" 0.8
	"shield energy" 0.8
	"shield heat" 0.4
	"heat generation" 5
	"energy capacity" 105000
	description "This is a massive superconductive coil, capable of storing large amounts of energy in an electromagnetic field and discharging all of it in a fraction of a second. The magnetic field also provides a small boost to the shield regeneration of the ship, which is otherwise very underdeveloped."


### COOLING

outfit "SRR Small Hybrid Cooling"
	"display name" "Small Hybrid Cooling"
	category "Systems"
	series "Cooling"
	index 13030
	cost 235000
	thumbnail "outfit/small sheragi cooling"
	"mass" 8
	"outfit space" -8
	"cooling" 9
	"active cooling" 17
	"cooling energy" 1.6
	description "This small cooling solution was designed with fighters in mind, and as such, it does not store fuel. However, it provides more passive cooling than its big brother."

outfit "SRR Large Hybrid Cooling"
	"display name" "Large Hybrid Cooling"
	category "Systems"
	series "Cooling"
	index 13050
	cost 1460000
	thumbnail "outfit/sheragicooling"
	"mass" 40
	"outfit space" -40
	"cooling" 24
	"active cooling" 128
	"cooling energy" 15.55
	"fuel capacity" -200
	"heat capacity" 500
	description "This Sheragi cooling system is primitive at best, but it works both actively and passively, allowing it to dissipate much more heat than a simple radiator would. It does, however, drain a lot of power when subjected to the heat of battle. It also includes cryogenic tanks to hold some additional fuel, which is used as a temporary heat reservoir."


### ENGINES

outfit "SRR Aeleos Drive"
	"display name" "Aeleos Drive"
	category "Engines"
	series "Engines"
	index 13030
	cost 2243000
	thumbnail "outfit/drive aeleos"
	"mass" 68
	"outfit space" -68
	"engine capacity" -32
	"weapon capacity" -3
	"energy generation" 5.2
	"heat generation" 14.15
	"thrust" 26.7
