### POWER

outfit "SRR Medium EM Battery"
	"display name" "Medium EM Battery"
	plural "Medium EM Batteries"
	category "Power"
	series "Batteries"
	index 13040
	cost 350000
	thumbnail "outfit/medium embattery"
	"mass" 50
	"outfit space" -50
	"shield generation" 0.36
	"shield energy" 0.36
	"shield heat" 0.18
	"heat generation" 1.85
	"energy capacity" 33600
	description "This medium superconductive inductor stores enough power to keep most ships running, and the electromagnetic field it generates helps to maintain the shield matrix."

outfit "SRR Drilgir Core"
	"display name" "Drilgir Core"
	category "Power"
	series "Generators"
	index 13010
	cost 1794000
	thumbnail "outfit/core drilgir"
	"mass" 33
	"outfit space" -33
	"energy generation" 5.2
	"heat generation" 15.6
	description "With the intergration of Humans into Sheragi space came the request for more compatible technology, the Sheragi's solution was to simply sell fission drives without the engine components as alternatives to some of the Human reactors available. However, some Sheragi have begun adopting the tactic of greater energy generation in favour of large batteries."

outfit "SRR Ethimir Core"
	"display name" "Ethimir Core"
	category "Power"
	series "Generators"
	index 13020
	cost 4598000
	thumbnail "outfit/core ethimir"
	"mass" 61
	"outfit space" -61
	"energy generation" 11
	"heat generation" 33.8
	description "With the intergration of Humans into Sheragi space came the request for more compatible technology, the Sheragi's solution was to simply sell fission drives without the engine components as alternatives to some of the Human reactors available. However, some Sheragi have begun adopting the tactic of greater energy generation in favour of large batteries."

outfit "SRR Letnir Core"
	"display name" "Letnir Core"
	category "Power"
	series "Generators"
	index 13030
	cost 21958000
	thumbnail "outfit/core letnir"
	"mass" 167
	"outfit space" -167
	"energy generation" 38
	"heat generation" 119.9
	description "This is by far the largest reactor you have ever seen, so large in fact that you don't think it would be practical to fit on any human ship. This reactor is a modified version of the Fusion Drive that powers the Sheragi's large capital ships."

outfit "SRR Vishmixenir Core"
	"display name" "Vishmixenir Core"
	category "Power"
	series "Generators"
	index 13040
	cost 34278000
	thumbnail "outfit/core vishmixenir"
	"mass" 222
	"outfit space" -222
	"energy generation" 54
	"heat generation" 171.6
	description "This is by far the largest reactor you have ever seen, so large in fact that you don't think it would be practical to fit on any human ship. This reactor is a modified version of the Fusion Drive that powers the Sheragi's large capital ships."

outfit "SRR Solar Intake"
	"display name" "Solar Intake"
	category "Systems"
